transitNr;orderNr;driverName;customerName;transitType;transitTypeShort;Status;countAllOrders;statusGreater30min;statusSerialSet;statusDateTime;statusHrsMin;distanceKm;statusGreater1km;DivisionCity;latCust;lonCust;latApp;lonApp
T991133078;250877079; Francis Holmes;Customer 4090;pickup;P;delivered;23;NULL;NULL;17.11.2020 17:37;17:30;18,97;NULL;Cracow;49,971138;20,29813004;50,0059653;20,039245
T991133078;250980926; Francis Holmes;Customer 4090;pickup;P;delivered;23;1;1;17.11.2020 17:37;17:30;18,48;NULL;Cracow;49,971138;20,29813004;50,005992;20,0461168
T991133078;250532600; Francis Holmes;Customer 4090;pickup;P;delivered;23;1;1;17.11.2020 17:37;17:30;18,56;NULL;Cracow;49,971138;20,29813004;50,0059894;20,0450396
T991133078;250448401; Francis Holmes;Customer 4090;pickup;P;delivered;23;NULL;NULL;17.11.2020 17:37;17:30;20,2;NULL;Cracow;49,971138;20,29813004;50,0053527;20,021442
T991133078;250737846; Francis Holmes;Customer 4090;pickup;P;delivered;23;NULL;NULL;17.11.2020 17:37;17:30;18,38;NULL;Cracow;49,971138;20,29813004;50,0060379;20,0475562
T991133078;250310899; Francis Holmes;Customer 4090;pickup;P;delivered;23;NULL;NULL;17.11.2020 17:37;17:30;18,97;NULL;Cracow;49,971138;20,29813004;50,0059653;20,039245
T991133078;250325616; Francis Holmes;Customer 4090;pickup;P;delivered;23;NULL;NULL;17.11.2020 17:37;17:30;18,97;1;Cracow;49,971138;20,29813004;50,0059653;20,039245
T991133078;250396727; Francis Holmes;Customer 4090;pickup;P;delivered;23;NULL;NULL;17.11.2020 17:37;17:30;18,63;1;Cracow;49,971138;20,29813004;50,0059815;20,0439651
T991133078;250827685; Francis Holmes;Customer 1634;delivery;D;delivered;23;1;NULL;17.11.2020 11:21;11:00;0,03;1;Cracow;49,71699905;20,41052246;49,7172555;20,410574
T991133078;250577067; Francis Holmes;Customer 5110;delivery;D;delivered;23;1;1;17.11.2020 10:29;10:00;0,05;1;Cracow;49,72345352;20,32514954;49,7236897;20,3256888
T991133078;250212906; Francis Holmes;Customer 38;delivery;D;delivered;23;1;NULL;17.11.2020 08:38;08:30;0,08;1;Cracow;49,80035019;20,39404297;49,8008912;20,3933006
T993790296;250640634;Alberto Gordon;Customer 3752;delivery;D;delivered;8;NULL;NULL;17.11.2020 11:31;11:30;3,97;1;Cracow;50,03797531;20,05027008;50,0371166;20,1056004
T993790296;250316161;Alberto Gordon;Customer 125;delivery;D;delivered;8;NULL;NULL;17.11.2020 11:11;11:00;0,22;1;Cracow;50,03759384;20,01886749;50,0355777;20,0189413
T993790296;250829252;Alberto Gordon;Customer 4120;delivery;D;delivered;8;NULL;1;17.11.2020 10:07;10:00;1,15;1;Cracow;50,07074356;20,00676346;50,0699329;20,022806
T993561925;250538098; Kurt Lynch;Customer 2290;pickup;P;delivered;20;NULL;1;17.11.2020 15:31;15:30;2,82;1;Cracow;50,03738022;20,01100159;50,05688845;20,03606094
T993561925;250350720; Kurt Lynch;Customer 1659;delivery;D;delivered;20;NULL;NULL;17.11.2020 12:13;12:00;1,25;1;Cracow;50,01390457;20,09856415;50,02232656;20,08711344
T993561925;250401452; Kurt Lynch;Customer 659;delivery;D;delivered;20;NULL;NULL;17.11.2020 11:20;11:00;0,21;NULL;Cracow;50,02449036;20,04224396;50,02446226;20,03925759
T993561925;250969928; Kurt Lynch;Customer 239;delivery;D;delivered;20;1;1;17.11.2020 12:08;12:00;0,21;NULL;Cracow;50,02259064;20,09011459;50,02222598;20,08726332
T993561925;250844771; Kurt Lynch;Customer 3177;pickup;P;delivered;20;1;NULL;17.11.2020 15:31;15:30;9,8;NULL;Cracow;50,03352356;20,16791534;50,05686193;20,03603616
T993561925;250266304; Kurt Lynch;Customer 3177;pickup;P;delivered;20;NULL;1;17.11.2020 15:31;15:30;9,8;1;Cracow;50,03352356;20,16791534;50,05686193;20,03603616
T993561925;250378088; Kurt Lynch;Customer 4263;delivery;D;delivered;20;1;NULL;17.11.2020 11:20;11:00;0,09;NULL;Cracow;50,02420807;20,03811646;50,02448946;20,03927709
T993561925;250775408; Kurt Lynch;Customer 3177;pickup;P;delivered;20;1;NULL;17.11.2020 15:31;15:30;9,79;1;Cracow;50,03352356;20,16791534;50,05672243;20,03608883
T993561925;250624096; Kurt Lynch;Customer 3177;pickup;P;delivered;20;1;1;17.11.2020 15:31;15:30;9,8;1;Cracow;50,03352356;20,16791534;50,05686193;20,03603616
T993561925;250717975; Kurt Lynch;Customer 3177;pickup;P;delivered;20;NULL;NULL;17.11.2020 15:31;15:30;9,79;1;Cracow;50,03352356;20,16791534;50,05681478;20,03610094
T993561925;250240631; Kurt Lynch;Customer 3177;pickup;P;delivered;20;NULL;1;17.11.2020 15:31;15:30;9,8;NULL;Cracow;50,03352356;20,16791534;50,05686193;20,03603616
T993561925;250379402; Kurt Lynch;Customer 3177;pickup;P;delivered;20;NULL;NULL;17.11.2020 15:31;15:30;9,8;NULL;Cracow;50,03352356;20,16791534;50,05686193;20,03603616
T993561925;250437101; Kurt Lynch;Customer 2208;delivery;D;delivered;20;1;1;17.11.2020 09:14;09:00;0,41;1;Cracow;50,03382492;20,00419235;50,03141749;19,99980479
T993561925;250564421; Kurt Lynch;Customer 1294;delivery;D;delivered;20;1;NULL;17.11.2020 10:02;10:00;0,04;1;Cracow;50,03207397;20,01301956;50,03202136;20,01253684
T993561925;250850585; Kurt Lynch;Customer 823;delivery;D;delivered;20;1;1;17.11.2020 10:46;10:30;0,18;NULL;Cracow;50,02810287;20,03910828;50,02690316;20,03737446
T993561925;250741200; Kurt Lynch;Customer 46;delivery;D;delivered;20;NULL;1;17.11.2020 10:18;10:00;0,1;1;Cracow;50,03717041;20,00937271;50,03647547;20,01021109
T993561925;250628405; Kurt Lynch;Customer 3753;delivery;D;delivered;20;NULL;NULL;17.11.2020 09:14;09:00;0,15;1;Cracow;50,03279877;20,00000763;50,03156879;19,99928301
T993561925;250309928; Kurt Lynch;Customer 2484;delivery;D;delivered;20;NULL;1;17.11.2020 13:15;13:00;0,38;1;Cracow;50,03357697;20,01166153;50,03693145;20,01039572
T993561925;250226554; Kurt Lynch;Customer 1161;delivery;D;delivered;20;1;1;17.11.2020 10:32;10:30;0,03;1;Cracow;50,03607178;20,01717377;50,03633061;20,01743911
T993561925;250942056; Kurt Lynch;Customer 95;delivery;D;delivered;20;1;1;17.11.2020 10:02;10:00;3,69;1;Cracow;50,04861069;19,96792984;50,03202136;20,01253684
T993609893;250634579; Bradford Schultz;Customer 1765;delivery;D;delivered;12;NULL;1;17.11.2020 12:12;12:00;0,06;NULL;Cracow;49,43901062;20,02077866;49,4389296;20,020015
T993609893;250456524; Bradford Schultz;Customer 4043;delivery;D;delivered;12;1;1;17.11.2020 15:58;15:30;0,32;NULL;Cracow;49,81101608;20,11859131;49,8138286;20,1174091
T993609893;250800133; Bradford Schultz;Customer 2141;delivery;D;delivered;12;NULL;1;17.11.2020 11:35;11:30;0,01;NULL;Cracow;49,48147202;20,03937912;49,4815563;20,0394573
T993609893;250232900; Bradford Schultz;Customer 5058;delivery;D;delivered;12;1;1;17.11.2020 09:37;09:30;0,01;NULL;Cracow;49,9364624;19,95488358;49,9365402;19,9548021
T993609893;250806394; Bradford Schultz;Customer 1328;pickup;P;delivered;12;NULL;NULL;17.11.2020 16:47;16:30;9,12;NULL;Cracow;49,88650894;19,99363327;49,9588094;20,0534052
T993609893;250637233; Bradford Schultz;Customer 878;delivery;D;delivered;12;1;NULL;17.11.2020 14:28;14:00;8,3;NULL;Cracow;49,3923111;20,1056633;49,3319751;20,0384439
T993609893;250375833; Bradford Schultz;Customer 2784;delivery;D;delivered;12;1;NULL;17.11.2020 12:28;12:00;0,02;NULL;Cracow;49,4238205;20,02643967;49,423844;20,0261878
T993609893;250691129; Bradford Schultz;Customer 918;delivery;D;delivered;12;1;NULL;17.11.2020 14:20;14:00;0,05;1;Cracow;49,32910156;20,09803772;49,3287896;20,0985899
T993609893;250196460; Bradford Schultz;Customer 2310;delivery;D;delivered;12;NULL;1;17.11.2020 13:14;13:00;0,55;NULL;Cracow;49,38640213;20,10446167;49,3913643;20,1050734
T993609893;250192622; Bradford Schultz;Customer 54;delivery;D;delivered;12;NULL;1;17.11.2020 11:52;11:30;0,16;NULL;Cracow;49,47790909;20,0134201;49,4774587;20,0112966
T993609893;250478258; Bradford Schultz;Customer 3863;delivery;D;delivered;12;NULL;NULL;17.11.2020 11:19;11:00;0,35;NULL;Cracow;49,48280841;20,05021325;49,4850584;20,0535239
T993609893;250409434; Bradford Schultz;Customer 2388;delivery;D;not delivered;12;NULL;NULL;17.11.2020 15:58;15:30;32,02;NULL;Cracow;49,53499222;20,00035858;49,8125561;20,1180971
T995544237;250873315; Jared Brock;Customer 1656;delivery;D;delivered;11;1;NULL;17.11.2020 10:41;10:30;0,24;1;Cracow;49,74892426;19,60279846;49,7509622;19,6040068
T992414130;250492453; Manuel Ryan;Customer 2522;pickup;P;delivered;20;1;1;18.11.2020 15:30;15:30;35,42;1;Katowice;50,34031677;18,55600357;50,2617316;19,0377064
T992414130;250771886; Manuel Ryan;Customer 2522;pickup;P;delivered;20;NULL;NULL;18.11.2020 15:30;15:30;35,42;NULL;Katowice;50,34031677;18,55600357;50,2617316;19,0377064
T992414130;250245409; Manuel Ryan;Customer 2522;pickup;P;delivered;20;NULL;NULL;18.11.2020 15:30;15:30;35,42;NULL;Katowice;50,34031677;18,55600357;50,2617316;19,0377064
T992414130;250653031; Manuel Ryan;Customer 1895;delivery;D;delivered;20;1;1;18.11.2020 06:17;06:00;0,08;NULL;Katowice;50,36977997;18,53182453;50,3705299;18,5318664
T997894139;250189974; Julius Craig;Customer 4953;pickup;P;delivered;23;NULL;NULL;18.11.2020 14:33;14:30;0,56;NULL;Katowice;50,11995697;18,63864517;50,1248264;18,6403716
T997894139;250531285; Julius Craig;Customer 4951;pickup;P;delivered;23;1;1;18.11.2020 14:33;14:30;0,59;NULL;Katowice;50,11995697;18,63864517;50,1220464;18,6310559
T997894139;250990822; Julius Craig;Customer 4951;pickup;P;delivered;23;1;NULL;18.11.2020 14:32;14:30;0,56;1;Katowice;50,11995697;18,63864517;50,1248264;18,6403716
T997894139;250662939; Julius Craig;Customer 4951;pickup;P;delivered;23;1;NULL;18.11.2020 14:32;14:30;0,56;NULL;Katowice;50,11995697;18,63864517;50,1248264;18,6403716
T997894139;250637986; Julius Craig;Customer 4951;pickup;P;delivered;23;1;NULL;18.11.2020 14:32;14:30;0,59;1;Katowice;50,11995697;18,63864517;50,1220464;18,6310559
T997894139;250180666; Julius Craig;Customer 4951;pickup;P;delivered;23;1;1;18.11.2020 14:32;14:30;0,59;1;Katowice;50,11995697;18,63864517;50,1220464;18,6310559
T997894139;250749223; Julius Craig;Customer 4951;pickup;P;delivered;23;1;1;18.11.2020 14:32;14:30;0,56;1;Katowice;50,11995697;18,63864517;50,1248264;18,6403716
T997894139;250963579; Julius Craig;Customer 4952;pickup;P;delivered;23;1;NULL;18.11.2020 14:33;14:30;0,59;NULL;Katowice;50,11995697;18,63864517;50,1220464;18,6310559
T997894139;250938164; Julius Craig;Customer 4952;pickup;P;delivered;23;NULL;NULL;18.11.2020 14:33;14:30;0,59;NULL;Katowice;50,11995697;18,63864517;50,1220464;18,6310559
T997894139;250831884; Julius Craig;Customer 4952;pickup;P;delivered;23;NULL;NULL;18.11.2020 14:32;14:30;0,85;NULL;Katowice;50,11995697;18,63864517;50,1275847;18,6397922
T997894139;250316524; Julius Craig;Customer 3888;pickup;P;delivered;23;1;1;18.11.2020 11:53;11:30;0,85;NULL;Katowice;50,0797014;18,07492999;50,0733418;18,0683222
T997894139;250514659; Julius Craig;Customer 550;delivery;D;delivered;23;NULL;1;18.11.2020 11:33;11:30;0,02;NULL;Katowice;50,07972717;17,99272919;50,0798737;17,9926607
T997894139;250445006; Julius Craig;Customer 4731;delivery;D;delivered;23;NULL;NULL;18.11.2020 10:26;10:00;0,03;NULL;Katowice;50,0959816;18,20778656;50,0957075;18,2076096
T997894139;250978683; Julius Craig;Customer 2769;pickup;P;delivered;23;1;NULL;18.11.2020 13:24;13:00;0,22;NULL;Katowice;50,11095428;18,27313232;50,1128274;18,2719899
T997894139;250837430; Julius Craig;Customer 4389;delivery;D;delivered;23;NULL;1;18.11.2020 08:40;08:30;0,09;NULL;Katowice;50,10604477;18,2376442;50,1061146;18,2363934
T997894139;250982875; Julius Craig;Customer 4389;delivery;D;delivered;23;1;NULL;18.11.2020 08:40;08:30;0,09;NULL;Katowice;50,10604477;18,2376442;50,1061146;18,2363934
T997894139;250180838; Julius Craig;Customer 2785;delivery;D;delivered;23;NULL;NULL;18.11.2020 12:47;12:30;0,02;NULL;Katowice;50,15822983;18,15465546;50,1581254;18,1549647
T997894139;250845975; Julius Craig;Customer 2727;delivery;D;delivered;23;1;NULL;18.11.2020 11:03;11:00;0,07;NULL;Katowice;50,02412415;18,11666107;50,0246381;18,1171838
T997894139;250777806; Julius Craig;Customer 1512;delivery;D;delivered;23;1;NULL;18.11.2020 12:35;12:30;239,44;NULL;Katowice;51,00228119;21,22159576;50,1363525;18,126994
T997894139;250772018; Julius Craig;Customer 777;delivery;D;delivered;23;1;1;18.11.2020 10:14;10:00;0,02;NULL;Katowice;50,09187272;18,22160069;50,0917294;18,2215863
T997894139;250437396; Julius Craig;Customer 1488;delivery;D;delivered;23;1;NULL;18.11.2020 12:11;12:00;0,09;NULL;Katowice;50,09252938;18,10138903;50,091759;18,1014205
T997894139;250702492; Julius Craig;Customer 2927;delivery;D;delivered;23;NULL;NULL;18.11.2020 09:28;09:00;0,56;NULL;Katowice;50,0772438;18,21362686;50,0739856;18,2077129
T997894139;250737946; Julius Craig;Customer 1338;delivery;D;delivered;23;1;NULL;18.11.2020 09:55;09:30;0,17;NULL;Katowice;50,07857475;18,22163889;50,0784879;18,2239451
T995090010;250944626; Adrian Baker;Customer 5240;pickup;P;delivered;17;1;1;18.11.2020 12:31;12:30;10,02;NULL;Katowice;50,43374634;18,3168602;50,506098;18,4008892
T995090010;250282557; Adrian Baker;Customer 4315;delivery;D;delivered;17;NULL;1;18.11.2020 11:21;11:00;0,05;NULL;Katowice;50,51587296;18,30444717;50,51565095;18,30382285
T995090010;250515909; Adrian Baker;Customer 4373;pickup;P;delivered;17;1;NULL;18.11.2020 13:11;13:00;44,55;NULL;Katowice;50,51876831;18,30225754;50,2929668;18,8198826
T995090010;250784816; Adrian Baker;Customer 4373;pickup;P;delivered;17;1;NULL;18.11.2020 13:11;13:00;44,55;1;Katowice;50,51876831;18,30225754;50,2929668;18,8198826
T995090010;250301067; Adrian Baker;Customer 858;delivery;D;delivered;17;NULL;1;18.11.2020 07:54;07:30;0,03;NULL;Katowice;50,72332764;18,43906021;50,7235854;18,4389546
T995090010;250415389; Adrian Baker;Customer 4764;delivery;D;delivered;17;NULL;NULL;18.11.2020 10:15;10:00;0,02;NULL;Katowice;50,50695419;18,18778992;50,5070228;18,1879908
T995090010;250251118; Adrian Baker;Customer 1920;delivery;D;delivered;17;NULL;1;18.11.2020 08:54;08:30;0,01;NULL;Katowice;50,68174362;18,18498611;50,681761;18,1850815
T995090010;250859563; Adrian Baker;Customer 2349;pickup;P;not delivered;17;1;1;18.11.2020 08:31;08:30;0,19;NULL;Katowice;50,6619873;18,36569595;50,6618235;18,363026
T995090010;250174953; Adrian Baker;Customer 4862;delivery;D;delivered;17;1;1;18.11.2020 11:07;11:00;1,55;1;Katowice;50,51086426;18,30552292;50,5147036;18,2845555
T993693637;250308853; Marshall Erickson;Customer 4270;delivery;D;delivered;15;1;NULL;18.11.2020 13:20;13:00;0,04;NULL;Katowice;50,36686325;18,63337708;50,3671167;18,6329704
T993693637;250676292; Marshall Erickson;Customer 2674;delivery;D;delivered;15;1;1;18.11.2020 13:41;13:30;0,16;1;Katowice;50,38096076;18,63461334;50,3812723;18,6323906
T993693637;250974186; Marshall Erickson;Customer 226;delivery;D;not delivered;15;1;NULL;18.11.2020 13:49;13:30;8,26;1;Katowice;50,32324982;18,70457458;50,3813641;18,6324315
T993693637;250761852; Marshall Erickson;Customer 2883;delivery;D;delivered;15;1;1;18.11.2020 12:24;12:00;0,08;NULL;Katowice;50,32229233;18,59342957;50,322411;18,5944839
T993693637;250408898; Marshall Erickson;Customer 4031;delivery;D;delivered;15;1;NULL;18.11.2020 14:40;14:30;2,34;NULL;Katowice;50,28790283;18,73203278;50,2993898;18,7045086
T993693637;250660369; Marshall Erickson;Customer 3861;delivery;D;delivered;15;1;1;18.11.2020 08:00;08:00;1,81;NULL;Katowice;50,28930283;18,66255188;50,2738003;18,6704062
T993693637;250291579; Marshall Erickson;Customer 2889;delivery;D;delivered;15;1;1;18.11.2020 12:24;12:00;0,07;NULL;Katowice;50,32229233;18,59342957;50,3224189;18,5944253
T993693637;250574474; Marshall Erickson;Customer 3911;delivery;D;delivered;15;1;NULL;18.11.2020 07:31;07:30;0,1;1;Katowice;50,27421188;18,69549942;50,2746189;18,6942891
T993693637;250657613; Marshall Erickson;Customer 2314;delivery;D;delivered;15;1;1;18.11.2020 09:22;09:00;0,02;NULL;Katowice;50,33258057;18,62584686;50,3324106;18,6259158
T993693637;250785015; Marshall Erickson;Customer 3585;delivery;D;delivered;15;1;1;18.11.2020 08:30;08:00;2,13;NULL;Katowice;50,27037811;18,65653229;50,2889745;18,663568
T993693637;250417437; Marshall Erickson;Customer 3673;delivery;D;not delivered;15;1;NULL;18.11.2020 14:50;14:30;3,87;1;Katowice;50,29746246;18,67879105;50,2979447;18,7331312
T993693637;250618470; Marshall Erickson;Customer 4929;delivery;D;delivered;15;NULL;1;18.11.2020 09:03;09:00;2,76;NULL;Katowice;50,32123566;18,6242981;50,3072717;18,6562767
T993693637;250756851; Marshall Erickson;Customer 2363;delivery;D;not delivered;15;1;1;18.11.2020 14:40;14:30;8,38;1;Katowice;50,36454391;18,64479828;50,2991451;18,7033289
T993693637;250331506; Marshall Erickson;Customer 4395;delivery;D;delivered;15;NULL;NULL;18.11.2020 14:50;14:30;0,42;1;Katowice;50,29434481;18,73206474;50,2980488;18,7331699
T993693637;250556439; Marshall Erickson;Customer 5634;pickup;P;not delivered;15;NULL;1;18.11.2020 12:49;12:30;9,65;NULL;Katowice;50,3465538;18,73237991;50,3279878;18,5999167
T994259303;250545425; Luther Bailey;Customer 373;delivery;D;delivered;24;NULL;1;18.11.2020 10:26;10:00;0,82;NULL;Katowice;50,27051544;18,94326401;50,2654087;18,951597
T994259303;250411153; Luther Bailey;Customer 2814;delivery;D;delivered;24;1;NULL;18.11.2020 08:40;08:30;0,25;NULL;Katowice;50,28728454;18,86467978;50,2878296;18,8680259
T994259303;250340393; Luther Bailey;Customer 2596;delivery;D;delivered;24;NULL;1;18.11.2020 09:01;09:00;0,04;1;Katowice;50,26520157;18,9011879;50,2653088;18,9006841
T994259303;250903212; Luther Bailey;Customer 2596;delivery;D;delivered;24;1;NULL;18.11.2020 09:01;09:00;0,04;1;Katowice;50,26520157;18,9011879;50,2653088;18,9006841
T994259303;250795435; Luther Bailey;Customer 2596;delivery;D;delivered;24;1;NULL;18.11.2020 09:01;09:00;0,04;1;Katowice;50,26520157;18,9011879;50,2653088;18,9006841
T994259303;250749671; Luther Bailey;Customer 3265;delivery;D;delivered;24;1;1;18.11.2020 12:29;12:00;0,16;1;Katowice;50,32098007;18,94582367;50,3223836;18,9452962
T994259303;250863449; Luther Bailey;Customer 3390;delivery;D;delivered;24;NULL;NULL;18.11.2020 12:30;12:30;0,16;NULL;Katowice;50,32098007;18,94582367;50,3223853;18,9453081
T994259303;250353886; Luther Bailey;Customer 3390;delivery;D;delivered;24;1;1;18.11.2020 12:30;12:30;0,16;1;Katowice;50,32098007;18,94582367;50,3223853;18,9453081
T994259303;250673303; Luther Bailey;Customer 3728;delivery;D;delivered;24;1;NULL;18.11.2020 09:47;09:30;1,22;NULL;Katowice;50,27051544;18,94326401;50,2601365;18,9488554
T994259303;250860027; Luther Bailey;Customer 3390;delivery;D;delivered;24;NULL;NULL;18.11.2020 12:30;12:30;0,16;NULL;Katowice;50,32098007;18,94582367;50,3223853;18,9453081
T994259303;250472471; Luther Bailey;Customer 814;delivery;D;delivered;24;1;1;18.11.2020 08:27;08:00;0,58;NULL;Katowice;50,29203796;18,84883118;50,2970328;18,851004
T994259303;250786902; Luther Bailey;Customer 3270;delivery;D;delivered;24;1;NULL;18.11.2020 12:29;12:00;0,16;NULL;Katowice;50,32098007;18,94582367;50,3223836;18,9452962
T994259303;250212856; Luther Bailey;Customer 1367;delivery;D;delivered;24;1;1;18.11.2020 11:07;11:00;1,29;NULL;Katowice;50,29939077;18,99373408;50,3046409;18,9776655
T994259303;250484646; Luther Bailey;Customer 371;delivery;D;delivered;24;1;1;18.11.2020 10:26;10:00;0,53;NULL;Katowice;50,26126862;18,94803619;50,2654087;18,951597
T994259303;250988774; Luther Bailey;Customer 3478;delivery;D;delivered;24;NULL;NULL;18.11.2020 12:29;12:00;0,16;NULL;Katowice;50,32099533;18,94590378;50,3223836;18,9452962
T994259303;250186495; Luther Bailey;Customer 1367;delivery;D;delivered;24;NULL;1;18.11.2020 11:07;11:00;0,48;NULL;Katowice;50,29939077;18,99373408;50,3036585;18,9927449
T994259303;250773937; Luther Bailey;Customer 5391;pickup;P;delivered;24;1;1;18.11.2020 15:35;15:30;5,18;1;Katowice;50,30702209;18,93317413;50,3285648;18,9977159
T994259303;250431606; Luther Bailey;Customer 5239;pickup;P;delivered;24;1;1;18.11.2020 15:35;15:30;5,08;NULL;Katowice;50,30908;18,93324;50,3285664;18,9977235
T994259303;250958748; Luther Bailey;Customer 5239;pickup;P;delivered;24;1;1;18.11.2020 15:35;15:30;5,08;NULL;Katowice;50,30908;18,93324;50,3285664;18,9977235
T994259303;250648955; Luther Bailey;Customer 5239;pickup;P;delivered;24;1;NULL;18.11.2020 15:35;15:30;5,08;NULL;Katowice;50,30908;18,93324;50,3285664;18,9977235
T994259303;250773751; Luther Bailey;Customer 5239;pickup;P;delivered;24;1;1;18.11.2020 15:35;15:30;5,08;1;Katowice;50,30908;18,93324;50,3285664;18,9977235
T994259303;250541602; Luther Bailey;Customer 5239;pickup;P;delivered;24;1;1;18.11.2020 15:35;15:30;5,08;NULL;Katowice;50,30908;18,93324;50,3285664;18,9977235
T998081148;250388924;Freddie Salazar;Customer 5336;delivery;D;delivered;27;NULL;1;18.11.2020 13:32;13:30;2,52;NULL;Szczecin;53,42751312;14,43454361;53,4263064;14,472446
T998081148;250888534;Freddie Salazar;Customer 3581;delivery;D;delivered;27;NULL;NULL;18.11.2020 12:39;12:30;0,08;NULL;Szczecin;53,42393875;14,51008224;53,4233815;14,5108038
T998081148;250173776;Freddie Salazar;Customer 1280;delivery;D;delivered;27;NULL;NULL;18.11.2020 13:54;13:30;0,37;1;Szczecin;53,44204443;14,40974801;53,4399296;14,4054658
T998081148;250793846;Freddie Salazar;Customer 838;delivery;D;delivered with problems;27;NULL;NULL;18.11.2020 09:55;09:30;0,06;1;Szczecin;53,38412094;14,48102951;53,3835773;14,4812416
T998081148;250278749;Freddie Salazar;Customer 2020;delivery;D;delivered;27;1;NULL;18.11.2020 11:46;11:30;3,06;1;Szczecin;53,3878479;14,54705811;53,3997163;14,5055238
T998081148;250899097;Freddie Salazar;Customer 848;delivery;D;delivered;27;1;1;18.11.2020 09:54;09:30;0,06;1;Szczecin;53,38412094;14,48102951;53,3836242;14,4811717
T998081148;250315216;Freddie Salazar;Customer 5006;pickup;P;delivered;27;1;NULL;18.11.2020 14:48;14:30;0,19;1;Szczecin;53,42607498;14,51208878;53,4276724;14,5112996
T998081148;250856206;Freddie Salazar;Customer 3189;delivery;D;delivered;27;NULL;NULL;18.11.2020 13:02;13:00;0,07;1;Szczecin;53,42510986;14,5031929;53,42555;14,5023559
T998081148;250587392;Freddie Salazar;Customer 5271;delivery;D;delivered;27;1;NULL;18.11.2020 10:36;10:30;0,04;1;Szczecin;53,37192535;14,47227478;53,3718366;14,4716753
T998081148;250285300;Freddie Salazar;Customer 5233;delivery;D;delivered;27;NULL;1;18.11.2020 10:52;10:30;0,25;NULL;Szczecin;53,37625873;14,47053002;53,3741143;14,4694618
